A	a
cerno	to perceive. to separate, sift, distinguish /decide, resolve, determine.
cernuus	faling headlong.
certamen	contest contest, contention, rivalry of any kind, conflict. engagement, combat.
certare	contend
certat	contends
certatio	contest
certo	to contend, settle, dispute, to settle by combat. to struggle , fight.
certus	decided /definite. determined. undoubted, certain, sure, settled, resolved.
cervix	neck, boldness.
cervus	stag, deer.
cesso	to leave off, cease /linger, delay.
cetera	for the rest, otherwise.
ceteri	the remaining, the rest, the others.
ceterum	(adv.) otherwise, moreover, but.
ceterus	the other, the rest.
chalybs	steel, iron, sickel, sword.
charitas	benevolence, offering.
charus	affectionate.
charybdis	whirlpool.
chirographum	autograph, person's own handwriting /written charter.
chorus	troop.
cibaria	victuals.
cibo	food for animals.
cibus	food for men and animals.
cicuta	hemlock.
ciminatio	accusation, calumny, charge.
ciminosus	reproachful, slanderous.
circumsto	to beset.
circumvenio	to beset, assail. to come around, surround, cheat, defraud.
citara	a harp.
citatio	summons, call.
citatus	quick, speedy. summons, citation.
citius	speedily, quickly, rapidly.
citivolus	swiftly flying.
citizen	citizen
cito	quickly, rapidly, speedily. to be moved, aroused. to put into quick motion, quickened.
civilis	civil, civic.
civis	citizen, townsman, bourgeois, burgess.
civitas	state, citzenship, city-state, city.
clades	scourge.
clam	secretly, in secret, stealthily..
clamito	to bawl out for.
clamo	to call, shout, cry aloud, proclaim, declare.
clamor	a shout, cry, loud call, outcry.
clango	to sound.
clangor	sounding.
claritas	brightness.
claritudo	brightness.
claro	to make bright or clear, make clear in the mind.
clarus	clear, bright /renowned, famous, illustrious.
claudeo	to limp, halt, be lame, to hobble.
claudico	to limp.
claudus	lame.
claustrum	bolt, bar, prison, den, pen, enclosure/ cloister.
clemens	forgiving
clementer	compassionately, mercifully.
clementia	indulgence, forbearance, humanity, mercy, gentleness, etc.
clibanus	oven, furnace/ tray for bread making.
clima	clime, region.
clypeus	brazen shield.
coacervo	to collect in a mass.
coacto	to force, compel, coerce.
coactu	by force, under compulsion.
coactum	force, compulsion, coercion.
coactus	constrained.
coadunati	collected.
coadunatio	a gathering together, a summing up, a uniting.
coaduno	to collect.
coaegresco	to become sick at the same time.
coangusto	to confine.
coarto	to confine.
coepi	began, started, undertook, initiated (pres. incipio ).
coepio	to begin, undertake.
coepto	to begin, undertake,.
coeptum	undertaking.
coerceo	surround, enclose, restrain, confine/ regulate.
cogitare	meditate
cogitat	meditates
cogitatio	meditation thorough consideration.
cogitatus	thought.
cogito	to think, ruminate, ponder, consider, plan.
cognatio	kindred.
cognatus	(adj.) related by blood (noun) a relative, kinsman.
cognomen	surname, family name, nick-name.
cognosco	to examine, inquire, learn.
cogo	to compel, restrict, confine. to to force, compel, compress.
cohaereo	to cling to, correspond to.
cohaero	to cleave to.
cohibeo	confine, restrain, hold back, repress.
cohors	a yard, enclosure /troop, 1/10 of a legion.
cohortor	to encourage, incite, exhort.
coitus	company.
collator	contributor.
collaudo	to praise very much, approve highly.
colligo	legi, lectum, to collect, gather together, assemble. to bind.
colloco	to place, put, arrange. to station.
colloquium	speech, conference.
colluctatio	wrestling.
colluctor	wrestle.
collum	neck.
colonus	tiller of the soil, inhabitant.
color	color, luster.
coloratus	colored /dark-complexioned.
coloro	to color.
coma	hair of the head, leaves, rays of light. stalk.
combibo	to drink up, suck in.
comburo	to burn up, to ruin, consume.
cometes	comet.
comis	courteous, kind, friendly, obliging.
comitatus	accompanied. train, retinue, following /war band.
comiter	courteously, in a kindly, friendly manner.
comito	to accompany.
comitto	to entrust, commit.
commemoro	to remind, relate, mention/ to keep in mind.
commendo	to commit.
commentari	meditate
commentatio	meditation
commeo	To go up and down, back and forth, in and out.
commercium	wares,  fellowship with.
commilito	comrade, companion in war.
comminor	to threaten.
comminuo	to scatter, weaken, damage.
comminus	hand to hand, in close combat.
commisceo	to intermingle, join, mix.
commiscere	to mingle.
commissio	perpetration, execution, performance, action.
commissum	offence. undertaking, that which is entrusted.
committo	to place, intrust, join.
commodo	(+ acc.) to furnish, lend, give. to make fit, adapt, please, oblige, serve.
commodum	convenience, advantage, opportunity, comfort. profit, favorable condition, requirements. suitable time, opportunity, convenience, use.
commodus	proper, fit, commodious. useful. welcome
commoneo	to impress upon one. to remind. to remember, recollect. to remind someone forcibly of somthing.
commorantes	inhabitants.
commoror	remain, stay, abide, linger. to sojourn, remain, inhabit.
commotio	agitation.
commotus	disordered, moved.
commoveo	to move violently, disturb, shake /excite, upset.
communico	to share.
communis	common, general, run of the mill.
compaciscor	agreed upon.
compacta	covenanted.
compactor	constructor.
compages	structure.
compar	companion.
comparo	to compare.
compater	the godfather of a man's child.
compatior	to suffer with one, feel pity, have compassion.
compello	to drive together, collect, force, compel. to to urge, address, speak to.
compendiose	briefly.
comperio	to disclose fully, find out with certainty, lay open. to learn, find out, ascertain.
comperte	on good authority.
compes	fetters.
compesco	to restrain.
compescor	to fasten together, hold in check, curb. to suppress, repress, check, restrain.
competentia	agreement.
competo	to be appropriate, suitable, fit.
compitum	cross-road.
complaceo	to be very pleasing to.
complacitus	favorable.
complector	compass.
complectus	embrace, grasp.
compleo	to fill up, man, bring up to strength, fulfil. to finish, complete.
complex	confederate.
complexo	encompass, embrace.
complico	to fold together.
compono	to adjust,  settle. to put together, compose.
compositio	composition, agreement, pact/ arrangement.
compositus	orderly, matching, made up of pieces.
comprehendo	to embrace, take firmly, include, seize. to grasp, take together, unite /comprehend. to seize, arrest, take prisoner, catch red-handed. to to gather together, apprehend.
comprimo	to hold back, hinder, keep to oneself.
comprobo	to approve fully/ to confirm, prove, establish.
compromitto	to agree to refer to arbitration, or an arbitrator.
comprovincialis	born in the same province.
compte	elegantly, with ornament.
comptus	a head-dress, a hairband.
conamen	effort.
conatus	exertion, effort / undertaking / impulse, inclination.
concateno	to link together, bind together.
concavo	to hollow out.
concedo	to concede, yield, allow, grant, withdraw, give up.
concepta	measures, capacity.
concero	connect join, twine, join in conflict.
concido	to be ruined, fail /cut up, cut down, destroy. to fall down, sink, perish / (wind) subside.
concieo	to bring together, assemble.
conciliator	mediator.
concilio	to assemble, bring togethe. to make friendly, procure the favor, bring together. win over, reconcile, unite /cause.
concilium	conciliation. council.
concinnitas	symmetry
concinnus	symmetrical
concino	to sing together, celebrate.
concio	to stir up.
concipio	to take or lay hold of, receive, take in/ conceive.
concisus	cut up, broken, brief, concise.
concite	quickly.
concito	to move violently, stir up, excite, arouse.
conclamo	to bewail as lost.
concordia	concord, harmony, agreement.
concordis	harmonious, united.
concordo	to harmonize, unite.
concremo	to consume, burn up.
concresco	to take form, grow strong.
concretio	growing-together.
concubitus	copulation.
conculco	to abuse, tread down, tread under foot. to tread under foot, despise, oppress, suppress.
concupiscentia	avarice, covetousness.
concupisco	to covet, aim at, desire eagerly. to covet.
concurro	to concur.
concursus	charge, assembly. meeting
concussio	oppression, extortion.
concutio	to shake together, agitate, alarm, disturb, shatter. to strike together, shake, terrorize.
condeco	to meet.
condico	to agree, fix, settle, make arrangements.
condita	laid up store, foundation, establishment, making.
conditor	creator.
condo	erect, establish, build. to store, place.
condoleo	to suffer greatly.
conduco	hire, employ for wages, among many other meanings. to conduct, lead forth.
confero	discuss, debate, confer/ betake oneself, devote. to bring together, put together, collect/.
confestim	speedily, rapidly, immediately, without delay. without delay.
confidenter	boldly, beyond a shadow of a doubt.
confido	have confidence in, be confident of, rely upon. to trust confidently, believe.
configo	to transfix.
confingo	to fabricate, make up.
confinio	neighborhood, limit.
confinis	conterminous contiguous
confirmo	to confirm.
conflictus	contest, impulse.
confortari	to be strong.
conforto	to strengthen much, soothe. to strengthen much.
confraga	cracks.
confugio	to take refuge in, have recourse to.
confugo	to flee, have recourse to, take refuge.
confundo	to bring into disorder, confounding, destroy. to pour together, mix, blend /confound, confuse, trouble.
confusim	in a confused way, fumbling.
confusio	a combining, blemish, disorder. mingling, mixture /confounding, confusion, disorder.
confusus	confused, disorderly /embarassed, troubled, confounded.
confuto	supress, keep silent /convict. to check, repress, stop, halt, turn back /silence. to confute /restrain, check, repress.
congelo	to congeal, harden, freeze.
congeries	pile, mass.
congero	to collect, compile.
conglobo	to amass.
congratulor	to rejoice.
congredior	to accost.
congregatio	assembly, society, union.
congrego	to assemble. to gather together, assemble, convene.
congressio	hostile attack, coming together. meeting
congressus	a meeting, association. encounter, assembly, meeting, congress.
congrue	adv, suitably.
congruens	appropriate, proportioned.
congruenter	harmoniously .
congruo	coincide, agree, conform.
congruus	agreeing, fit, suitable. appropriate, suitable.
conicio	to hurl, throw /put together, conjecture.
coniecto	to throw together, infer, guess, conclude.
conitor	to press upon, to struggle to reach.
coniuratio	conspiracy, plot.
coniuratus	conspirator, plotter.
coniuro	to take an oath together, plot, conspire.
conjugium	wedlock.
conjugo	to unite.
conjungo	to unite.
conjuratio	confederacy.
conjuratus	sworn.
conjuro	to unite by an oath, conspire.
conjux	consort.
conluvies	medley
conluvio	medley
connecto	to join, bind.
connexio	bond.
connubialis	sexual.
connubium	sexual union.
conor	to try, endeavor. to undertake, try, venture, presume, attempt, presume.
conqueror	to complain loudly.
consanguinei	relations.
conscendo	to ascend, mount, go up.
conscientia	conscience, consciouness, knowledge.
conscindo	to tear in pieces.
conscius	conscious of, aware of. privy to.
conseco	to dismember, cut into pieces, chop up.
consecro	to dedicate, consecrate, sanctify/ to curse/ deify. to dedicate.
consectatio	striving, pursuit.
consenesco	to grow old, weak, feeble, infirm.
consensio	agreement, harmony, cooperation /plot, conspiracy.
consensus	sympathy
consentaneus	suited to.
consentio	to agree, consent /plot, conspire.
consepio	to hedge in.
consequens	according to reason.
consequentia	f, consequential, relating.
conservo	to preserve, conserve, maintain, keep, hold to.
considero	to contemplate, inspect. to look at, regard carefully,.
consido	to set down, settle.
consiliarii	counsellors.
consilio	intentionally, on purpose, designedly.
consilium	advice, suggestion, wisdom, plan, purpose, judgment. deliberation, consultation, assembly, council. deliberation, resolution, measure as in plan, advice.
consimilis	adj, similar.
consisto	(+ abl. etc.) to be formed of, consist/ stop, stay. (+ in) to depend on, rely on. to take one's stand, stand still, stop, be posted.
consitor	sower, planter.
consobrinus	maternal first cousin.
consolatio	encouragement, amelioration, consolation.
consolido	to make firm.
consolo	to comfort.
consonum	adj, n, harmonious.
consors	companion, comradeship.
consortio	partnership, company .
conspergo	to sprinkle, bestrew.
conspicio	to catch sight of, perceive, behold, understand. to observe.
conspicuus	striking .
conspiratio	union.
constans	constant. steady, firm, unchanging, constant, unwavering.
constanter	steadily, firmly, dependably, steadily.
constantia	constancy, firmness, solidity.
constat	it is certain.
constipatus	surrounded.
constituo	to arrange, decide, appoint, settle, found, set up. to establish, appoint. to fix, station, place, cause to stand, set. to set up, place, establish, post, station.
consto	to be established, stand firm, stop, endure.
constrictio	to bind together, draw together.
constringo	to fetter.
construo	to bring together.
constupator	ravisher, debaucher.
constupro	to ravish, corrupt.
consuasor	advisor, counselor.
consuefacio	to accustom, acclimate, become used to.
consuesco	to accustom, inure, habituate.
consueta	customary, usual.
consuetudo	custom, usage, habit /intimacy, familiar acquaintance.
consul	magistrate.
consulatio	deliberation, inquiry, full consideration.
consulo	(+ dat) take care of, for, advise. (+ dat.) look to the interests of/consult, ask advice. to look to the interests of, come to a conclusion. to reflect, consider, ponder, reflect. to take counsel.
consulto	to ask the advice of, consult. to consider carefully, weigh, ponder. to consult + acc.
consultum	advice. decree.
consummatio	completion, summing up, adding up.
consummo	to add together, sum up, make perfect, complete.
consumo	to devour. to spend, employ, use up, finish, waste away, destroy.
consurgo	to stand up, rise up /to arise, break out.
contabesco	to waste slowly away, decline in health.
contactus	touching, contact /contagion.
contages	a touch, contact.
contagio	infection.
contamino	to defile. to pollute, infect.
contego	to conceal. to cover, shield, protect, defend.
contemnendus	contemptible
contemno	to defy. to think meanly of, despise, condemn, hate.
contemplari	contemplate
contemplatio	contemplation survey, contemplation.
contemplor	to mark out, regard, consider carefully, survey. to observe.
contemptim	contemptuously.
contemptio	scorn, disdain, contempt.
